BookID,Title,Author,Genre,ISBN,TotalCopies,AvailableCopies,PublishedYear
30,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,9780006514855,10,5,2000
31,The White Album,Joan Didion,American essays,9780006545866,10,6,1993
32,The Bonesetter's Daughter,Amy Tan,China,9780006550433,10,1,2001
33,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,9780006551393,10,10,2000
34,'Tis,Frank McCourt,Ireland,9780006551812,10,4,2000
35,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,9780006646006,10,9,2002
36,A Small Pinch of Weather,Joan Aiken,"Children's stories, English",9780006754893,10,4,2000
37,The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,9780006906018,10,8,2000
38,Koko,Peter Straub,Male friendship,9780007103676,10,1,2001
39,Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,9780007105045,10,3,2001
40,Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",9780007111503,10,4,2001
41,Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,9780007113804,10,8,2001
42,"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,9780007116263,10,8,2003
43,All Families are Psychotic,Douglas Coupland,Dysfunctional families,9780007117536,10,1,2002
44,Death in the Clouds,Agatha Christie,Detective and mystery stories,9780007119332,10,8,2001
45,Appointment with Death,Agatha Christie,Detective and mystery stories,9780007119356,10,7,2001
46,Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",9780007120680,10,1,2001
47,Hercule Poirot's Christmas,Agatha Christie,Christmas stories,9780007120697,10,1,2001
48,The Big Four,Agatha Christie,Detective and mystery stories,9780007120819,10,5,2002
49,The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",9780007120864,10,8,2002
50,They Do it with Mirrors,Agatha Christie,American fiction,9780007120871,10,5,2002
51,A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",9780007120963,10,2,2002
52,The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",9780007120987,10,8,2002
53,Mrs McGinty's Dead,Agatha Christie,Belgians,9780007121007,10,9,2002
54,Taken at the Flood,Agatha Christie,Fiction,9780007121014,10,9,2002
55,The Hollow,Agatha Christie,Detective and mystery stories,9780007121021,10,1,2002
56,Third Girl,Agatha Christie,Belgians,9780007121106,10,5,2002
57,The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",9780007122585,10,9,2001
58,The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",9780007124015,10,2,2001
59,The Metaphysical Club,Louis Menand,Cambridge (Mass.),9780007126903,10,7,2002
60,The illustrated man,Ray Bradbury,Fiction,9780007127740,10,4,2002
61,Wilkins' Tooth,Diana Wynne Jones,Business enterprises,9780007129652,10,3,2002
62,Cut,Patricia McCormick,Emotional problems,9780007130313,10,10,2002
63,The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,9780007135653,10,9,2004
64,The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English",9780007136582,10,8,2002
65,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",9780007136599,10,1,2002
66,Lirael,Garth Nix,Fantasy fiction,9780007137336,10,10,2004
67,Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",9780007149124,10,10,2002
68,Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,9780007149612,10,9,2004
69,The Yiddish Policemen's Union,Michael Chabon,Fiction,9780007149827,10,3,2007
70,"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,9780007150304,10,7,2003
71,The Family Way,Tony Parsons,Parenthood,9780007151240,10,8,2005
72,Endless Night,Agatha Christie,FICTION,9780007151677,10,4,2002
73,How to be Alone,Jonathan Franzen,Literary Collections,9780007153589,10,1,2004
74,The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,9780007154845,10,5,2003
75,The Listerdale Mystery,Agatha Christie,Detective and mystery stories,9780007154883,10,9,2003
76,The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,9780007158058,10,10,2004
77,I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",9780007158515,10,5,2003
78,"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,9780007158522,10,4,2003
79,If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",9780007162994,10,4,2003
80,The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",9780007171996,10,5,2003
81,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,9780007173020,10,7,2004
82,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,9780007173136,10,6,2004
83,Oh Say Can You Say?,Dr. Seuss,Children's stories,9780007175222,10,5,2004
84,There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,9780007178636,10,10,2004
85,Microserfs,Douglas Coupland,Computer programmers,9780007179817,10,5,2004
86,Miss Wyoming,Douglas Coupland,Actors,9780007179824,10,9,2004
87,Where Rainbows End,Cecelia Ahern,Friendship,9780007189953,10,9,2004
88,Poirot,Agatha Christie,Authors,9780007190683,10,6,2005
89,The Art of The Lord of the Rings,Gary Russell,Costume,9780007191925,10,1,2004
90,The Known World,Edward P. Jones,African American plantation owners,9780007195305,10,3,2004
91,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,9780007195718,10,7,2004
92,Naked Lunch,William S. Burroughs,Alienation (Social psychology),9780007204441,10,9,2005
93,Tropic of Cancer,Henry Miller,Fiction,9780007204465,10,7,2005
94,Close Range,Annie Proulx,Cowboys,9780007205585,10,6,2006
95,The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,9780020199854,10,10,1994
96,The Song of Rhiannon,Evangeline Walton,Fiction,9780020264736,10,5,1992
97,Heart Songs and Other Stories,Annie Proulx,Fiction,9780020360759,10,6,1995
98,The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,9780020442608,10,10,1970
99,"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,9780020442806,10,4,1978
100,The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,9780020518600,10,5,1986
101,"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,9780020867401,10,10,1982
102,Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,9780023513206,10,2,1953
103,The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,9780024181909,10,6,1979
104,The Presocratics,Philip Wheelwright,Philosophy,9780024266408,10,10,1966
105,Spandau,Albert Speer,History,9780026995016,10,10,1976
106,The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",9780027054903,10,5,1971
107,The Journey with Grandmother,Edith Unnerstad,Grandmothers,9780027897500,10,9,1960
108,Tyranny of the Majority,Lani Guinier,History,9780029131695,10,8,1995
109,The Origins of the Civil Rights Movement,Aldon D. Morris,History,9780029221303,10,8,1986
110,Presidential Power and the Modern Presidents,Richard E. Neustadt,History,9780029227961,10,6,1991
111,"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,9780030420566,10,2,1978
112,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,9780030547744,10,1,2000
113,Poppy's Return,Avi,Juvenile Fiction,9780060000141,10,8,2006
114,Diary of a Spider,Doreen Cronin,Juvenile Fiction,9780060001537,10,9,2005
115,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,9780060004507,10,5,2005
116,The Paradox of Choice,Barry Schwartz,Business & Economics,9780060005696,10,9,2005
117,How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,9780060009427,10,8,2003
118,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,9780060012342,10,7,2001
119,The Wee Free Men,Terry Pratchett,Juvenile Fiction,9780060012380,10,6,2004
120,Going Postal,Terry Pratchett,Fiction,9780060013134,10,10,2004
121,Modern Mind,Peter Watson,Science,9780060084387,10,1,2002
122,She Went All the Way,Meg Cabot,Fiction,9780060085445,10,3,2002
123,Island,Aldous Huxley,Fiction,9780060085490,10,9,1962
124,A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,9780060088743,10,10,2006
125,Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,9780060090371,10,1,2002
126,The Terminal Man,Michael Crichton,Fiction,9780060092573,10,2,2002
127,The Art of the Novel,Milan Kundera,Literary Criticism,9780060093747,10,5,2003
128,The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,9780060094935,10,7,2003
129,"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,9780060099459,10,3,2002
130,Identity,Milan Kundera,Fiction,9780060175641,10,1,1998
131,The thief of always,Clive Barker,Fiction,9780060177249,10,6,1992
132,The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,9780060192501,10,3,1998
133,Mars and Venus Book of Days,John Gray,Family & Relationships,9780060192778,10,6,1998
134,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,9780060218058,10,9,1996
135,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,9780060245603,10,6,1998
136,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,9780060256579,10,6,1981
137,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,9780060256753,10,8,1963
138,The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,9780060277406,10,7,1999
139,Laura's Album,William Anderson,Juvenile Nonfiction,9780060278427,10,10,1998
140,Quivers,Robin Quivers,African Americans in radio broadcasting,9780060391539,10,6,1995
141,Moonspinners,Mary Stewart,Fiction,9780060502959,10,3,2003
142,Small Wonder,Barbara Kingsolver,Literary Collections,9780060504083,10,4,2003
143,Worlds Enough & Time,Dan Simmons,Fiction,9780060506049,10,8,2002
144,The Cheese Monkeys,Chip Kidd,Fiction,9780060507404,10,10,2002
145,Travels,Michael Crichton,Biography & Autobiography,9780060509057,10,4,2002
146,Caesar,Colleen McCullough,Fiction,9780060510855,10,4,2003
147,The Forever War,Joe Haldeman,Fiction,9780060510862,10,1,2003
148,Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,9780060511067,10,2,2003
149,The Secret Sister,Elizabeth Lowell,Fiction,9780060511104,10,10,2005
150,Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,9780060511111,10,4,2005
151,Whirlpool,Elizabeth Lowell,Fiction,9780060511135,10,10,2006
152,"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,9780060511142,10,9,2004
153,Cryptonomicon,Neal Stephenson,Fiction,9780060512804,10,4,2002
154,Falling Up,Shel Silverstein,Juvenile Nonfiction,9780060513092,10,2,2002
155,Anansi Boys,Neil Gaiman,Fiction,9780060515195,10,10,2006
156,Fragile Things,Neil Gaiman,Fiction,9780060515225,10,10,2006
157,What Went Wrong?,Bernard Lewis,History,9780060516055,10,8,2003
158,Letters from the Earth,Mark Twain,Literary Criticism,9780060518653,10,6,2004
159,Savannah Blues,Mary Kay Andrews,Fiction,9780060519131,10,7,2003
160,The Whipping Boy,Sid Fleischman,Juvenile Fiction,9780060521226,10,4,2003
161,The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,9780060521998,10,10,2003
162,A Nose for Murder,Lee Charles Kelley,Fiction,9780060524937,10,3,2003
163,Happiness,Will Ferguson,Fiction,9780060525101,10,4,2003
164,Size 12 Is Not Fat,Meg Cabot,Fiction,9780060525118,10,5,2006
165,Warrior of the Light,Paulo Coelho,Fiction,9780060527983,10,9,2004
166,The Devil and Miss Prym,Paulo Coelho,Fiction,9780060527990,10,3,2006
167,The Big Bing,Stanley Bing,Business & Economics,9780060529574,10,8,2006
168,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,9780060531041,10,9,2003
169,Walt Whitman,Justin Kaplan,Biography & Autobiography,9780060535117,10,9,2003
170,How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,9780060539092,10,9,2004
171,The Outsider,Richard Wright,Fiction,9780060539252,10,3,1953
172,1421,Gavin Menzies,History,9780060540944,10,4,2004
173,The Andromeda Strain,Michael Crichton,Fiction,9780060541811,10,10,2003
174,Congo,Michael Crichton,Fiction,9780060541835,10,1,2003
175,Johnny and the Dead,Terry Pratchett,Juvenile Fiction,9780060541880,10,5,2006
176,Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,9780060542382,10,7,2003
177,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,9780060543495,10,6,2005
178,The Bradbury Chronicles,Sam Weller,Biography & Autobiography,9780060545840,10,6,2006
179,Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,9780060546571,10,3,2005
180,The Wicked Day,Mary Stewart,Fiction,9780060548285,10,7,2003
181,The Game,Neil Strauss,Biography & Autobiography,9780060554736,10,10,2005
182,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,9780060556501,10,3,2004
183,Gold,Isaac Asimov,Fiction,9780060556525,10,10,2003
184,The Kindness of Strangers,Katrina Kittle,Fiction,9780060564780,10,7,2007
185,Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,9780060566104,10,4,2004
186,Fluke,Christopher Moore,Fiction,9780060566685,10,1,2004
187,Lord of Light,Roger Zelazny,Fiction,9780060567231,10,3,2004
188,The Perennial Philosophy,Aldous Huxley,Philosophy,9780060570583,10,10,2004
189,A Crack in the Edge of the World,Simon Winchester,History,9780060572006,10,8,2006
190,Dead Witch Walking,Kim Harrison,Fiction,9780060572969,10,6,2004
191,"The Good, the Bad, and the Undead",Kim Harrison,Fiction,9780060572976,10,8,2005
192,"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,9780060574215,10,8,2004
193,Sabriel (adult),Garth Nix,Fiction,9780060575816,10,2,2004
194,Slouching Toward Nirvana,Charles Bukowski,Poetry,9780060577049,10,9,2006
195,Bad Childhood---Good Life,Laura Schlessinger,Self-Help,9780060577865,10,2,2006
196,Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,9780060578114,10,7,2005
197,Cat Breaking Free,Shirley Rousseau Murphy,Fiction,9780060578121,10,2,2006
198,Slider,Patrick Robinson,Sports & Recreation,9780060580339,10,3,2004
199,The Black Dahlia Files,Don Wolfe,True Crime,9780060582500,10,10,2006
200,Metro Girl,Janet Evanovich,Fiction,9780060584023,10,1,2005
201,Motor Mouth,Janet Evanovich,Fiction,9780060584030,10,1,2006
202,Mystic River,Dennis Lehane,Fiction,9780060584757,10,1,2003
203,Great Short Works of Herman Melville,Herman Melville,Fiction,9780060586546,10,3,2004
204,The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,9780060587031,10,4,2006
205,Eleven Minutes,Paulo Coelho,Fiction,9780060589288,10,2,2005
206,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,9780060589462,10,9,2006
207,Ulysses S. Grant,Michael Korda,Biography & Autobiography,9780060590154,10,7,2004
208,A Dirty Job,Christopher Moore,Fiction,9780060590277,10,3,2006
209,Quicksilver,Neal Stephenson,Fiction,9780060593087,10,7,2004
210,Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,9780060593247,10,5,2006
211,Flirting With Danger,Suzanne Enoch,Fiction,9780060593636,10,9,2005
212,Lost Horizon,James Hilton,Fiction,9780060594527,10,2,2004
213,The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,9780060595180,10,3,2004
214,Thanksgiving,Janet Evanovich,Fiction,9780060598808,10,6,2006
215,Love Overboard,Janet Evanovich,Fiction,9780060598846,10,3,2005
216,Back to the Bedroom,Janet Evanovich,Fiction,9780060598853,10,5,2005
217,The Rocky Road to Romance,Janet Evanovich,Fiction,9780060598891,10,4,2004
218,Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,9780060598969,10,3,2005
219,Muhammad,Karen Armstrong,Biography & Autobiography,9780060598976,10,10,2006
220,Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,9780060609177,10,2,1995
221,Reading the Bible Again for the First Time,Marcus J. Borg,Religion,9780060609191,10,1,2002
222,Shadow of the Almighty,Elisabeth Elliot,Religion,9780060622138,10,6,1989
223,The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,9780060645892,10,7,2002
224,C.S. Lewis,C. S. Lewis,Religion,9780060652852,10,2,1996
225,The Screwtape Letters,C. S. Lewis,Religion,9780060652890,10,2,2001
226,Mere Christianity,C. S. Lewis,Religion,9780060652920,10,3,2001
227,Learning to Love,Thomas Merton,Religion,9780060654856,10,10,1998
228,The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,9780060725143,10,10,2004
229,Cash,Johnny Cash,Biography & Autobiography,9780060727536,10,5,2003
230,"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,9780060727635,10,10,2004
231,Touching the Void,Joe Simpson,Sports & Recreation,9780060730550,10,3,2004
232,Anybody Out There?,Marian Keyes,Fiction,9780060731304,10,5,2006
233,My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,9780060732707,10,9,2004
234,The Confusion,Neal Stephenson,Fiction,9780060733353,10,7,2005
235,Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,9780060734015,10,4,2004
236,Practical Demonkeeping,Christopher Moore,Fiction,9780060735425,10,1,2004
237,Island of the Sequined Love Nun,Christopher Moore,Fiction,9780060735449,10,9,2004
238,The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,9780060735456,10,4,2004
239,Weetzie Bat,Francesca Lia Block,Juvenile Fiction,9780060736255,10,4,2004
240,Behind the Curtain,Peter Abrahams,Juvenile Fiction,9780060737047,10,9,2006
241,"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,9780060739423,10,6,2004
242,Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,9780060745905,10,6,2004
243,Son of a Witch,Gregory Maguire,Fiction,9780060747220,10,5,2006
244,This Rough Magic,Mary Stewart,Fiction,9780060747473,10,2,2004
245,Airs Above the Ground,Mary Stewart,Fiction,9780060747480,10,5,2004
246,The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,9780060751647,10,1,2004
247,Beauty,Robin McKinley,Juvenile Fiction,9780060753108,10,8,2005
248,Mating in Captivity,Esther Perel,Psychology,9780060753634,10,1,2006
249,Forgotten New York,Kevin Walsh,Travel,9780060754006,10,8,2006
250,The Dead Beat,Marilyn Johnson,Social Science,9780060758769,10,10,2007
251,Charms for the Easy Life,Kaye Gibbons,Fiction,9780060760250,10,9,2005
252,The Reading Group,Elizabeth Noble,Fiction,9780060760441,10,1,2005
253,A Couple of April Fools,Gregory Maguire,Juvenile Fiction,9780060760823,10,3,2005
254,What Christians Believe,C. S. Lewis,Religion,9780060761530,10,7,2005
255,Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,9780060763725,10,1,2006
256,YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,9780060765316,10,2,2005
257,The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,9780060765453,10,9,2005
258,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,9780060765484,10,3,2005
259,"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,9780060766740,10,6,2005
260,A Quick Bite,Lynsay Sands,Fiction,9780060773755,10,6,2005
261,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,9780060775858,10,1,2005
262,Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,9780060776091,10,5,2005
263,The Final Solution,Michael Chabon,Fiction,9780060777104,10,6,2005
264,The Cat's Pajamas,Ray Bradbury,Fiction,9780060777333,10,7,2005
265,Holy Skirts,Rene Steinke,Fiction,9780060778019,10,7,2005
266,Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,9780060782139,10,8,2006
267,A False Mirror,Charles Todd,Fiction,9780060786731,10,2,2007
268,Cracks in My Foundation,Marian Keyes,Fiction,9780060787035,10,7,2005
269,A Fistful of Charms,Kim Harrison,Fiction,9780060788193,10,8,2006
270,For a Few Demons More,Kim Harrison,Fiction,9780060788384,10,1,2007
271,Mysteries of Pittsburgh,Michael Chabon,Fiction,9780060790592,10,1,2005
272,Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,9780060792176,10,7,2005
273,Flight of the Nighthawks,Raymond E. Feist,Fiction,9780060792787,10,10,2006
274,Into a Dark Realm,Raymond E. Feist,Fiction,9780060792800,10,1,2007
275,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,9780060793197,10,4,2005
276,The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,9780060815523,10,4,2006
277,Last of the Wilds,Trudi Canavan,Fiction,9780060815912,10,4,2006
278,Voice of the Gods,Trudi Canavan,Fiction,9780060815929,10,1,2007
279,Missing Mom,Joyce Carol Oates,Fiction,9780060816223,10,7,2006
280,"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,9780060819224,10,2,2004
281,Touch Not the Cat,Mary Stewart,Fiction,9780060823726,10,10,2005
282,King of the Vagabonds,Neal Stephenson,Fiction,9780060833176,10,4,2006
283,Odalisque,Neal Stephenson,Fiction,9780060833183,10,2,2006
284,Black Boy,Richard Wright,Biography & Autobiography,9780060834005,10,10,2005
285,The Sheltering Sky,Paul Bowles,Fiction,9780060834821,10,8,2005
286,Rat Bastards,John Shea,Biography & Autobiography,9780060837167,10,6,2006
287,The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,9780060837334,10,1,2005
288,The Thorn Birds,Colleen McCullough,Fiction,9780060837556,10,9,2005
289,Krakatoa,Simon Winchester,History,9780060838591,10,4,2005
290,The Professor and the Madman,Simon Winchester,Biography & Autobiography,9780060839789,10,4,2005
291,Hit Parade,Lawrence Block,Fiction,9780060840884,10,10,2006
292,The Curtain,Milan Kundera,Literary Collections,9780060841867,10,3,2006
293,"A Hard Day's Write, 3e",Steve Turner,Music,9780060844097,10,7,2005
294,"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,9780060845247,10,2,2005
295,"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,9780060845308,10,9,2005
296,Sex with the Queen,Eleanor Herman,History,9780060846732,10,5,2006
297,Brave New World,Aldous Huxley,Fiction,9780060850524,10,2,2006
298,Queen of Babble,Meg Cabot,Fiction,9780060851989,10,7,2006
299,"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,9780060852559,10,1,2007
300,Good Omens,Neil Gaiman;Terry Pratchett,Fiction,9780060853983,10,4,2006
301,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,9780060854096,10,9,2006
302,Continental Drift,Russell Banks,Fiction,9780060854942,10,9,2007
303,The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,9780060872793,10,9,2006
304,Next,Michael Crichton,Fiction,9780060872984,10,10,2006
305,How to Be Popular,Meg Cabot,Juvenile Fiction,9780060880125,10,2,2006
306,The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,9780060882600,10,5,2006
307,Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,9780060882815,10,6,2006
308,The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,9780060882860,10,8,2006
309,How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,9780060884055,10,3,2006
310,Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,9780060885373,10,2,2007
311,Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,9780060885380,10,8,2006
312,The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,9780060885427,10,1,2007
313,Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,9780060885434,10,10,2007
314,The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,9780060885458,10,8,2007
315,The Alchemist - Gift Edition,Paulo Coelho,Fiction,9780060887964,10,1,2006
316,Pretty Things,Liz Goldwyn,Biography & Autobiography,9780060889449,10,8,2006
317,Eaters of the Dead,Michael Crichton,Fiction,9780060891565,10,9,2006
318,Genome,Matt Ridley,Science,9780060894085,10,3,2006
319,The Zero,Jess Walter,Fiction,9780060898656,10,10,2006
320,Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,9780060899226,10,3,2007
321,DREAM & THE UNDERWOR,James Hillman,Psychology,9780060906825,10,3,1979
322,The Crying of Lot 49,Thomas Pynchon,Fiction,9780060913076,10,6,1966
323,An American Childhood,Annie Dillard,Biography & Autobiography,9780060915186,10,10,1988
324,Teaching a Stone to Talk,Annie Dillard,Literary Criticism,9780060915414,10,10,1988
